,L,lambda,sd,NRMSE,median,R1
62,1.0,4.5,1.0,0.9098907291381418,-0.4886022031568886,0.9736384137206252
63,1.0,5.0,0.0,1.0092362301242583,5.160921834306329e-06,1.0
64,1.0,5.0,0.05,0.9607650152262891,-1.9944443913224357,0.9999510489182316
65,1.0,5.0,0.08,0.9626419100890469,-0.7621985725486045,0.9998712300966701
66,1.0,5.0,0.12,0.9631443791804929,-0.4265334233192445,0.9996975231888755
67,1.0,5.0,0.18,0.9631517966943548,-0.19912770289683962,0.9993312830207207
68,1.0,5.0,0.28,0.95917367004484,-0.5261427628467992,0.9982946052860666
69,1.0,5.0,0.42,0.9328488839201852,-0.6198426117230611,0.9963945693987951
70,1.0,5.0,0.65,0.9120345818341188,-0.31640466084881747,0.9921389511770994
71,1.0,5.0,1.0,0.9087645725561188,-0.12397439648030573,0.9790581404346043
72,1.0,5.5,0.0,1.0092325206364767,4.661073040102287e-06,1.0000000000000002
73,1.0,5.5,0.05,0.9563202468090296,-2.0761038351424816,0.9999595460801995
74,1.0,5.5,0.08,0.9581248780560007,-0.8518771526720582,0.9998935878720363
75,1.0,5.5,0.12,0.9586696294941605,-0.4731082238086279,0.9997500668710336
76,1.0,5.5,0.18,0.9587199830810411,-0.21933506832570687,0.9994475573821493
77,1.0,5.5,0.28,0.955804090927269,-0.4962887984533127,0.998592152568232
78,1.0,5.5,0.42,0.9339061941580005,-0.745054372565831,0.9970270750232
79,1.0,5.5,0.65,0.9030330010086428,-0.4669808151702525,0.99353496653977
80,1.0,5.5,1.0,0.9035345970445651,-0.2961356902678478,0.9829276746790293
81,1.0,6.0,0.0,1.0092412241122717,4.278472308957449e-06,0.9999999999999999
82,1.0,6.0,0.05,0.9520468489101794,-2.1844099257770946,0.9999660084840658
83,1.0,6.0,0.08,0.9535292852158781,-0.918908155501048,0.9999105902544414
84,1.0,6.0,0.12,0.954120343495409,-0.5219745439882957,0.9997900175897406
85,1.0,6.0,0.18,0.9542132685823823,-0.22445034872676756,0.999535932324987
86,1.0,6.0,0.28,0.9520019503795079,-0.49227260115477484,0.998818020643471
87,1.0,6.0,0.42,0.9338024198823878,-0.6954070833154351,0.9975062323659637
88,1.0,6.0,0.65,0.8943344587338959,-0.2904891518728622,0.9945875327627338
89,1.0,6.0,1.0,0.8962758288904213,-0.31836244690385257,0.9857977069876318
90,1.0,6.5,0.0,1.0092311826792197,3.927180274166105e-06,0.9999999999999999
91,1.0,6.5,0.05,0.9479700246634958,-2.3216778849820408,0.9999710375131193
92,1.0,6.5,0.08,0.9489283845882781,-0.9835146508964151,0.9999238205685017
93,1.0,6.5,0.12,0.9495655430587646,-0.5684380049198177,0.9998211007512393
94,1.0,6.5,0.18,0.9496720862981741,-0.2263890588899229,0.9996046723007705
95,1.0,6.5,0.28,0.9479469293977685,-0.4519602762463064,0.9989935358313254
96,1.0,6.5,0.42,0.9329956856557244,-0.662169775191619,0.9978779911499864
97,1.0,6.5,0.65,0.8855569984982665,-0.38466826822960887,0.9954012813557422
98,1.0,6.5,1.0,0.8880513109158662,-0.5076560873249781,0.987990304691681
99,1.0,7.0,0.0,1.0092390853088578,3.664248646078891e-06,0.9999999999999998
100,1.0,7.0,0.05,0.9440365866105553,-2.447862834614654,0.9999750277363979
101,1.0,7.0,0.08,0.9442857080373307,-1.047999232140224,0.9999343174462324
102,1.0,7.0,0.12,0.944954457265997,-0.5983050266226135,0.9998457593165831
103,1.0,7.0,0.18,0.9451101866126749,-0.2313111069473558,0.9996591926738727
104,1.0,7.0,0.28,0.9437542270706957,-0.44390278887919876,0.9991326378213261
105,1.0,7.0,0.42,0.9314421257743755,-0.5298611151906619,0.9981722639789824
106,1.0,7.0,0.65,0.8777765894731172,-0.3608736931960931,0.9960436583498747
107,1.0,7.0,1.0,0.8797637087429293,-0.5522846139574931,0.9897057422275284
108,1.0,8.0,0.0,1.0092404642349648,3.1943330676696954e-06,1.0
109,1.0,8.0,0.05,0.9364922609462278,-2.671308039848226,0.999980881181389
110,1.0,8.0,0.08,0.9350610947339943,-1.1732444867838727,0.9999497149247133
111,1.0,8.0,0.12,0.9358037304554586,-0.7016827979968525,0.9998819256910093
112,1.0,8.0,0.18,0.9359474266910118,-0.278174375169455,0.9997391385397263
113,1.0,8.0,0.28,0.9350664352317161,-0.33621772802966277,0.999336439612816
114,1.0,8.0,0.42,0.9266368739583668,-0.6033158833509551,0.9986028378457752
115,1.0,8.0,0.65,0.8675561679604221,-0.35495278780110406,0.9969808144811754
116,1.0,8.0,1.0,0.8626644691965673,-0.4952029904893561,0.9921850562806916
117,1.0,10.0,0.0,1.0092239389154791,2.5622896506898774e-06,1.0
118,1.0,10.0,0.05,0.9226874991013224,-2.9247270523694002,0.9999877643850386
119,1.0,10.0,0.08,0.9167747078139568,-1.4070040484838713,0.9999678198652037
120,1.0,10.0,0.12,0.9173986578526195,-0.8468597757050764,0.9999244447422468
121,1.0,10.0,0.18,0.9176383686166281,-0.35788025093562553,0.9998330997559017
122,1.0,10.0,0.28,0.9171438240633875,-0.2724297834205877,0.9995757093570317
123,1.0,10.0,0.42,0.9129028218304303,-0.8101160737736286,0.9991074763398339
124,1.0,10.0,0.65,0.8602869581757607,-0.7254542392548835,0.9980750873867534
125,1.0,10.0,1.0,0.8287385404929585,-1.009453105306169,0.9950467116129057
126,2.0,0.0,0.0,1.0210937310291501,0.00012072274807210814,0.05880365213608552
127,2.0,0.0,0.05,1.0211022546911996,0.00011404486315029429,0.06452347714876373
128,2.0,0.0,0.08,1.0211057584532008,0.00010412359795327205,0.06920606100270608
129,2.0,0.0,0.12,1.0211032457743132,9.06951231680169e-05,0.0867646826534511
130,2.0,0.0,0.18,1.021093748058515,6.73502310884976e-05,0.04811804956824927
131,2.0,0.0,0.28,1.0211154742155264,4.29327847569211e-05,0.050673961111123086
132,2.0,0.0,0.42,1.0211156832763861,2.1332159591837082e-05,0.07544104703146759
133,2.0,0.0,0.65,1.0211842683129775,1.0125923985487637e-05,0.10612399318504129
134,2.0,0.0,1.0,1.0207974332917795,3.6821335727817124e-06,0.09165176258459265
135,2.0,0.5,0.0,1.021811921678237,-1.5021828735418781e-05,1.0
136,2.0,0.5,0.05,0.9952047979704999,-0.2202299824592166,0.9950206850184031
137,2.0,0.5,0.08,0.9942040723776923,-0.6073071904070877,0.986430306482679
138,2.0,0.5,0.12,1.0016920652815782,-0.2121005110440129,0.9659678428519051
139,2.0,0.5,0.18,7.7942132602595064,-0.12462969552671857,0.9088292956135651
140,2.0,0.5,0.28,598.6419857870465,-0.0055052900965565366,0.47623248540038676
141,2.0,0.5,0.42,810.3672720718845,-0.6068847885029772,0.2207049644027332
142,2.0,0.5,0.65,924.6257793701297,-0.140108068801584,0.11017738345047286
143,2.0,0.5,1.0,1081.3160420388629,0.05200165844924611,0.1349067693215305
144,2.0,1.0,0.0,1.021803012586189,-7.5108186399716015e-06,0.9999999999999999
145,2.0,1.0,0.05,0.9873896751296009,-0.3962896073811878,0.9987711858699121
146,2.0,1.0,0.08,0.9873836611821251,-0.29841047324226366,0.9967426591408588
147,2.0,1.0,0.12,0.982839570103066,-0.5556215328516612,0.9922432711531683
148,2.0,1.0,0.18,0.9746981009221063,-0.398948560084914,0.9822391361912837
149,2.0,1.0,0.28,0.9654889084795684,-0.17648269907672207,0.9485595323041316
150,2.0,1.0,0.42,8.125420856846388,0.0035394007268024475,0.8559501580460642
151,2.0,1.0,0.65,4205.688627552833,0.06892704095414093,0.342462353147385
152,2.0,1.0,1.0,2958.60943515701,0.023555636661921783,0.0979961400699768
