,delay,k_scale,sd,NRMSE,median,R1
0,1.0,0.0,0.0,1.0107648024736218,0.00012082498275703755,0.04521724154275876
1,1.0,0.0,0.05,1.010771120880439,0.00011380001057610042,0.012517791181692179
2,1.0,0.0,0.0824,1.010770940222724,0.0001071290793967562,0.02296868911145334
3,1.0,0.0,0.1357,1.0107773173083263,7.806796827005842e-05,0.14702999414249995
4,1.0,0.0,0.2236,1.0107744560890006,4.4159713804117094e-05,0.07152795707641277
5,1.0,0.0,0.3684,1.0107822674805824,2.4671634263053294e-05,0.08365447334267184
6,1.0,0.0,0.607,1.0108134184361677,4.578965050229395e-06,0.20066545612025116
7,1.0,0.0,1.0,1.0109749168682072,3.6054000218070773e-06,0.07782745602480973
8,1.0,0.1,0.0,0.8871380972965315,-0.14808196213483632,0.9999999895812222
9,1.0,0.1,0.05,0.8828178549274247,0.10273491795875127,0.9999500511140245
10,1.0,0.1,0.0824,0.8941980408828422,-0.1568841035484127,0.9998929054284516
11,1.0,0.1,0.1357,0.8971922927259481,-0.22214700210831273,0.9996162076148236
12,1.0,0.1,0.2236,0.8996446990344988,0.03824071018478828,0.9989939275179794
13,1.0,0.1,0.3684,0.8881007377143381,0.18486769114240054,0.997690911224665
14,1.0,0.1,0.607,0.8798371537897032,-0.8528409897034396,0.9924996951524392
15,1.0,0.1,1.0,0.8839021729865187,-0.7497160612701516,0.977804186525207
16,1.0,0.2,0.0,0.7587537815848467,-0.017020044483938623,0.9999999917331847
17,1.0,0.2,0.05,0.7498976337302105,-0.646699429015109,0.9999870035904214
18,1.0,0.2,0.0824,0.7589226502973893,0.25404217487332353,0.9999717516361134
19,1.0,0.2,0.1357,0.7597578956310186,-0.5562421165091733,0.9999029093137963
20,1.0,0.2,0.2236,0.7583465440833761,0.014561831892706767,0.9997562280510908
21,1.0,0.2,0.3684,0.7564594843856105,0.011861642248890386,0.999410177601948
22,1.0,0.2,0.607,0.7498071222102116,-1.4834025071615815,0.998090995017634
23,1.0,0.2,1.0,0.7433877116891171,-0.7145975525070201,0.99496959277337
24,1.0,0.3,0.0,0.6514519930863685,1.0307792184934441,0.9999999924811896
25,1.0,0.3,0.05,0.6455757986132148,-0.8421894814328109,0.9999943172660913
26,1.0,0.3,0.0824,0.6453834659396516,-0.3639465000424452,0.999987474465422
27,1.0,0.3,0.1357,0.6406498850323918,0.6261211315752675,0.9999575103537781
28,1.0,0.3,0.2236,0.6511046860148723,-0.9534869227282556,0.9998909374713784
29,1.0,0.3,0.3684,0.6479072599230988,0.4589047551855353,0.9997535774307378
30,1.0,0.3,0.607,0.6383221660322035,-0.564842934829657,0.999201834503459
31,1.0,0.3,1.0,0.6302915465212934,0.43709847171761074,0.9977766735581851
32,1.0,0.4,0.0,0.5430675623987424,-0.12141838644990466,0.9999999910977801
33,1.0,0.4,0.05,0.550795168847318,0.19847384236424623,0.9999969490832099
34,1.0,0.4,0.0824,0.5525851019783774,-0.15362259101999837,0.9999934961741839
35,1.0,0.4,0.1357,0.5559815465515919,0.19830040858726092,0.999976115477696
36,1.0,0.4,0.2236,0.5510259013889663,0.12811255879710004,0.9999383213074128
37,1.0,0.4,0.3684,0.5513485184794803,0.012542572119796577,0.9998556304493059
38,1.0,0.4,0.607,0.5593204087206333,0.16710903971741398,0.9995431948811254
39,1.0,0.4,1.0,0.551211652298081,-0.1450582648868878,0.998761891053252
40,1.0,0.5,0.0,0.4757702502872918,0.302212225066132,0.9999999896953407
41,1.0,0.5,0.05,0.4739328607525283,-0.3512665158254251,0.9999980040656731
42,1.0,0.5,0.0824,0.4690704261125783,-0.18986548885578414,0.9999956259467987
43,1.0,0.5,0.1357,0.4754789198657635,0.03377322061923585,0.9999844843683181
44,1.0,0.5,0.2236,0.4689306388140754,-0.10860794465715967,0.9999614719094171
45,1.0,0.5,0.3684,0.47527914969092055,0.01387946000065278,0.999909236733125
46,1.0,0.5,0.607,0.46996644295670903,0.4812171962533637,0.9996952857509126
47,1.0,0.5,1.0,0.4704254281110485,0.16077577803189175,0.9992214274900894
48,1.0,0.6,0.0,0.3873802718950061,0.07195905159077454,0.9999999904038903
49,1.0,0.6,0.05,0.40242577024960546,0.18184800479757401,0.9999986071617396
50,1.0,0.6,0.0824,0.3760630109640593,0.41895766499606235,0.9999969338212363
51,1.0,0.6,0.1357,0.40446065472539094,-0.36213236033910334,0.9999891042459613
52,1.0,0.6,0.2236,0.40603146606861856,-0.009584466823881532,0.9999717428094175
53,1.0,0.6,0.3684,0.40436344359962706,0.23919753898159474,0.99993384733628
54,1.0,0.6,0.607,0.3997094951758253,-0.12799182288845457,0.9998034546906637
55,1.0,0.6,1.0,0.3945810185402415,0.043145814285937445,0.9994558527987616
56,1.0,0.7,0.0,0.33818403337143116,-0.6299250367754008,0.9999999925594256
57,1.0,0.7,0.05,0.3340041054964473,0.3063143603135692,0.999999016270418
58,1.0,0.7,0.0824,0.3271940170482638,-0.22548043233246218,0.9999976941460732
59,1.0,0.7,0.1357,0.32843396667350616,-0.20343223877917574,0.9999922746708965
60,1.0,0.7,0.2236,0.3508009280616055,0.2596078129515673,0.9999796722616292
61,1.0,0.7,0.3684,0.3542065058040353,0.07417084745816582,0.9999540582544542
62,1.0,0.7,0.607,0.3354709209115769,-0.11070940670209822,0.9998461907337421
63,1.0,0.7,1.0,0.3424472690626994,0.46919456255361247,0.9995846386406969
64,1.0,0.8,0.0,0.2574809007288475,0.3701107865968234,0.999999990387936
65,1.0,0.8,0.05,0.30002659539013427,-0.12063695609912789,0.9999992130037465
66,1.0,0.8,0.0824,0.2861116929399031,-0.11299839782584567,0.9999984157004
67,1.0,0.8,0.1357,0.29216542171646187,-0.3346402669857067,0.9999940870613478
68,1.0,0.8,0.2236,0.2986069393718135,0.1088763992811666,0.9999847839625733
69,1.0,0.8,0.3684,0.2926845053333946,-0.2338125248929653,0.9999649844183108
70,1.0,0.8,0.607,0.28812513614101765,-0.26870943681835807,0.9998884951466149
71,1.0,0.8,1.0,0.282983472325538,0.24814368517061683,0.9996705067393226
72,1.0,0.9,0.0,0.21302784669540412,0.18631460683048268,0.9999999919609408
73,1.0,0.9,0.05,0.2299108809641435,0.3718751452600003,0.999999360572619
