,L,lambda,sd,NRMSE,median,R1
0,1.0,0.0,0.0,1.0107277431369743,0.00012082498275703755,0.1527220311497426
1,1.0,0.0,0.05,1.0107362375185354,0.00011147285922096362,0.15022593896388067
2,1.0,0.0,0.1,1.010732714843194,9.202003384031596e-05,0.15201512771505907
3,1.0,0.0,0.2,1.0107526339807855,6.045246616233586e-05,0.0502448863495863
4,1.0,0.0,0.3,1.0107417999955624,3.849432968660285e-05,0.05291775713079637
5,1.0,0.0,0.5,1.010643125069817,1.4442919642375204e-05,0.07330407112720538
6,1.0,0.0,0.7,1.0108237322761484,8.472711962008584e-06,0.11627084006673871
7,1.0,0.0,1.0,1.0107396251846301,4.542167704873597e-06,0.058954307992015696
8,1.0,0.0,1.5,1.0102876203422968,1.7330510344846225e-06,0.055411679652343185
9,1.0,0.0,2.0,1.010035980379548,-1.1850384634750596e-07,0.12584904859258225
10,1.0,0.0,3.0,1.0094938066321697,1.1457675990941392e-06,0.060409845154581567
11,1.0,0.0,5.0,1.0082786022813213,-1.2161927586154396e-07,0.06329537682210959
12,1.0,0.5,0.0,1.0092374458658124,5.124867789236653e-05,1.0000000000000002
13,1.0,0.5,0.05,0.9968410703988222,-0.1749710679026967,0.9945636061840372
14,1.0,0.5,0.1,0.9969690177610693,-0.1652992707948354,0.979858350821423
15,1.0,0.5,0.2,4.542270567334914,-0.11004296287923765,0.8862402565749964
16,1.0,0.5,0.3,294.95426907556725,-0.10182877800183326,0.5613893434632073
17,1.0,0.5,0.5,892.7666386823878,-0.023036372585064968,0.3522216927049097
18,1.0,0.5,0.7,2360.8926085292055,-0.242872536955749,0.1734774955044017
19,1.0,0.5,1.0,1843.885708272243,-0.2798037640347554,0.16712274866017202
20,1.0,0.5,1.5,1352.6278147961748,-0.34593960603928714,0.2274675730482682
21,1.0,0.5,2.0,652.777244212124,-0.2158373275189538,0.06886590604089934
22,1.0,0.5,3.0,710.9111595368094,-0.06376870141566915,0.12998795336258376
23,1.0,0.5,5.0,567.4603833799388,-0.005088359802114245,0.020079847010362556
24,1.0,1.0,0.0,1.0092370753857793,2.5627985248400257e-05,1.0
25,1.0,1.0,0.05,0.993392736754188,-0.23257847241149132,0.9986602568658136
26,1.0,1.0,0.1,0.9932541024178337,-0.1333151959854108,0.9952189082265639
27,1.0,1.0,0.2,0.9871012208398151,-0.1921209420670426,0.9811213726019659
28,1.0,1.0,0.3,0.9837821284079351,-0.11952324357165423,0.9489855867438588
29,1.0,1.0,0.5,1043.8002312949384,0.10743942366828385,0.528726678728518
30,1.0,1.0,0.7,1647.818948077255,-0.0034558711455132674,0.056216223930632796
31,1.0,1.0,1.0,7896.806764347105,0.041160936281988275,0.08104715583073684
32,1.0,1.0,1.5,1785.8420577324268,-0.16559462961480664,0.27668652877491534
33,1.0,1.0,2.0,3497.7156195673656,-0.12305948420358465,0.05216537705734369
34,1.0,1.0,3.0,2050.295484168222,-0.011950268182209622,0.19047935880088757
35,1.0,1.0,5.0,1458.4111580345934,0.006096043845732105,0.0986073182912191
36,1.0,2.0,0.0,1.0092432362574062,1.2817842847528884e-05,1.0
37,1.0,2.0,0.05,0.9864994099729244,-0.5815998964525844,0.9996662323142106
38,1.0,2.0,0.1,0.9871126516365055,-0.1944502730272588,0.9988188160191795
39,1.0,2.0,0.2,0.985695526316329,-0.07493573329006745,0.9955155871265153
40,1.0,2.0,0.3,0.9656859371874412,-0.2817078540640403,0.9895450372869287
41,1.0,2.0,0.5,0.960790636240734,-0.4367093492699776,0.9581604370931553
42,1.0,2.0,0.7,0.9596404140950798,0.17468746646212993,0.8951593805100115
43,1.0,2.0,1.0,3.5737957494146784,0.0003750323516535626,0.7259861197385115
44,1.0,2.0,1.5,1180.5714231470745,-0.004059439239364794,0.22620697314385732
45,1.0,2.0,2.0,8038.973472648939,-0.11991198068478703,0.05144212449761175
46,1.0,2.0,3.0,2594.167724485302,-0.0017357941325295391,0.07428292178071229
47,1.0,2.0,5.0,1833.0146444232716,0.0022627121831503326,0.1080185191556091
48,1.0,3.0,0.0,1.009238340361873,8.536911490826771e-06,1.0
49,1.0,3.0,0.05,0.9784768983907699,-0.898193469156766,0.9998517558319249
50,1.0,3.0,0.1,0.9797725292401076,-0.3305098451522881,0.999476162494755
51,1.0,3.0,0.2,0.9797907813089664,-0.13935044314648767,0.998023804778904
52,1.0,3.0,0.3,0.9565173077709033,-0.8268416897342694,0.9954577637002346
53,1.0,3.0,0.5,0.9469612563551382,-0.1793519839650653,0.9829674884225578
54,1.0,3.0,0.7,0.9376741230407556,-0.2496933978737045,0.9649892954410081
55,1.0,3.0,1.0,1.0289188320609328,-0.01228933656462966,0.8935629253210001
56,1.0,3.0,1.5,1.08525041470608,0.000234282450634436,0.751580531899154
57,1.0,3.0,2.0,2786.6250497888905,-0.011449122082237584,0.2165007077641761
58,1.0,3.0,3.0,1963.1424416457933,0.0028134422555256815,0.11357413242634766
59,1.0,3.0,5.0,994.9468109421783,-0.0032541333307359198,0.10290200728237034
60,1.0,4.0,0.0,1.0092349537402483,6.446663741855813e-06,1.0000000000000002
61,1.0,4.0,0.05,0.9697462618471375,-1.1841714619437667,0.999916632761207
62,1.0,4.0,0.1,0.9715815166340306,-0.41386380959482005,0.9997055664186647
63,1.0,4.0,0.2,0.9718477744960236,-0.11208217204184019,0.998891573565014
64,1.0,4.0,0.3,0.9607666534859065,-0.2937654059761443,0.9974641460436718
65,1.0,4.0,0.5,0.9275979386321721,-0.6017409950831809,0.9906669040761494
66,1.0,4.0,0.7,0.929818829622228,-0.00807156351204344,0.9814066573862036
67,1.0,4.0,1.0,0.9058884524405069,-0.9493513017351534,0.9584212351513187
68,1.0,4.0,1.5,0.9102497371992797,-1.1364480199353528,0.9003021538358504
69,1.0,4.0,2.0,1.4998970401854246,0.00023423728608939928,0.7178759037685281
70,1.0,4.0,3.0,1478.4528151575144,-0.003518134569751471,0.3744447755299597
71,1.0,4.0,5.0,559.0806780509049,-0.002146301045583443,0.16168804896750819
72,1.0,5.0,0.0,1.0092392270296044,5.164661921153051e-06,1.0000000000000002
73,1.0,5.0,0.05,0.9607939441140155,-1.4541781216694631,0.9999466514045671
74,1.0,5.0,0.1,0.9628218214906469,-0.5511853784993236,0.9998116305824486
75,1.0,5.0,0.2,0.963220081673869,-0.09266413222668808,0.9992915251966277
76,1.0,5.0,0.3,0.9584054696806222,-0.6237695903007519,0.9983825688218828
77,1.0,5.0,0.5,0.9120572806430237,-1.030973754484109,0.9940953088550509
78,1.0,5.0,0.7,0.9119191266266186,-0.16896220422736832,0.9883802896273388
79,1.0,5.0,1.0,0.8862751505742035,-0.9853659048607526,0.9752114023757391
80,1.0,5.0,1.5,0.8756281713656968,-0.06814098422115741,0.9520477759657415
81,1.0,5.0,2.0,0.8936016126761133,-0.033768471256219956,0.8658930482216156
82,1.0,5.0,3.0,2.302692486726883,-0.00012401796506535361,0.5472233765944027
83,1.0,5.0,5.0,54.34105334113071,0.00015534407220024412,0.2915150349826536
84,1.0,6.0,0.0,1.0092402474939268,4.260598990004957e-06,1.0000000000000002
85,1.0,6.0,0.05,0.9519389650830803,-1.6829149492323392,0.9999629550010156
86,1.0,6.0,0.1,0.9537508568812236,-0.644514006116648,0.999869214237835
87,1.0,6.0,0.2,0.9542391572044542,-0.15398172167267193,0.9995083426817122
88,1.0,6.0,0.3,0.9517811388747638,-0.38737018339286144,0.9988788317208214
89,1.0,6.0,0.5,0.905844857717554,-1.558651706105921,0.9959245596656192
90,1.0,6.0,0.7,0.893857593231013,0.057625891422219105,0.9920297341336378
91,1.0,6.0,1.0,0.8874289668586116,-0.9985909819360669,0.9833334452202921
92,1.0,6.0,1.5,0.8645238616677527,-0.06418285997177586,0.9689258457852554
93,1.0,6.0,2.0,0.8716936350060158,-0.21827857343803564,0.9247254411041388
94,1.0,6.0,3.0,1.0146551154044692,0.00024343507884828366,0.7446178171080104
95,1.0,6.0,5.0,12.552946940076188,7.566493704788311e-05,0.359624354506636
96,1.0,7.0,0.0,1.0092369089052937,3.6632357554396865e-06,1.0
97,1.0,7.0,0.05,0.9433407448080414,-1.8178473046109815,0.9999727845167046
98,1.0,7.0,0.1,0.944561779122988,-0.7503005939743075,0.9999039244271303
99,1.0,7.0,0.2,0.9450788226979969,-0.20636241947702177,0.9996389296469304
100,1.0,7.0,0.3,0.9436721569460058,-0.2763263619089745,0.9991771816507782
101,1.0,7.0,0.5,0.9057191697775765,-1.1357003601724784,0.9970167050948442
102,1.0,7.0,0.7,0.8769338067043644,-0.4822042505153747,0.9941866621700066
103,1.0,7.0,1.0,0.8792976337427736,-0.5173958803773949,0.9879739370926082
104,1.0,7.0,1.5,0.838782532601527,0.04223906599038153,0.9779525229101994
105,1.0,7.0,2.0,0.8252800614676882,-0.6599711452810765,0.9489616586949964
106,1.0,7.0,3.0,0.8961512999834675,0.0001848090598717552,0.8499954659734207
107,1.0,7.0,5.0,5.260679014415376,-4.9870710358317804e-05,0.38791472536295896
108,1.0,8.0,0.0,1.00923757768705,3.0905411688667067e-06,1.0000000000000002
109,1.0,8.0,0.05,0.9351156157133271,-1.9887654285014342,0.9999791637937251
110,1.0,8.0,0.1,0.9352648600232719,-0.8676639101464431,0.9999264481456855
111,1.0,8.0,0.2,0.9358862450453903,-0.22355082656949246,0.9997236271721083
112,1.0,8.0,0.3,0.9349688912944712,-0.2475650239985275,0.9993704712510464
113,1.0,8.0,0.5,0.9058410972425214,-0.8736528580444248,0.9977212784559417
114,1.0,8.0,0.7,0.8623741124234322,-0.5065704970375091,0.9955697925043224
115,1.0,8.0,1.0,0.8646522041547585,-0.7360970426323057,0.9908950611848112
116,1.0,8.0,1.5,0.8319260653658982,0.5362091549252477,0.9834665848748155
117,1.0,8.0,2.0,0.8127242201554681,-0.8626147519154369,0.9632360550304091
118,1.0,8.0,3.0,0.8249903114442275,0.00010608841741833027,0.9058142073378349
119,1.0,8.0,5.0,1.4342388655331337,1.249369667540744e-05,0.4340951596112826
120,1.0,10.0,0.0,1.009266481122864,2.483702754757576e-06,1.0000000000000002
121,1.0,10.0,0.05,0.9196577411031033,-2.2652382843067564,0.9999866653128046
122,1.0,10.0,0.1,0.9169255237543557,-1.0879638773418885,0.9999529313093294
123,1.0,10.0,0.2,0.9175649054943948,-0.3235292008741409,0.9998231734088002
124,1.0,10.0,0.3,0.9170655148012595,-0.2180172123899965,0.9995974293032743
125,1.0,10.0,0.5,0.9002486152180496,-0.3110656061692074,0.9985456173410673
126,1.0,10.0,0.7,0.84355185319366,-0.8606320366933502,0.9971799333822041
127,1.0,10.0,1.0,0.8317877470027782,-0.6831755205750296,0.9942464230568563
128,1.0,10.0,1.5,0.8274609423147455,0.18173778746405125,0.9896577695951175
129,1.0,10.0,2.0,0.7754941425714851,-0.2724338880858657,0.9777609281852968
130,1.0,10.0,3.0,0.7677509342015744,-0.04753418716878452,0.9350155870831635
131,1.0,10.0,5.0,0.8617141038174639,-0.03717067531530773,0.8124259145791095
132,2.0,0.0,0.0,1.0210937310291501,0.00012072274807210814,0.09732118163601142
133,2.0,0.0,0.05,1.0211100407878395,0.00011137853772899572,0.03981181611464741
134,2.0,0.0,0.1,1.021103277054295,9.194217213529276e-05,0.059336208007481135
135,2.0,0.0,0.2,1.0211415223605191,6.040131499566248e-05,0.08108770272857133
136,2.0,0.0,0.3,1.0211207209693065,3.846175814736254e-05,0.11132052944849763
137,2.0,0.0,0.5,1.020931245563928,1.443069893018964e-05,0.14541215798465942
138,2.0,0.0,0.7,1.0212780221944326,8.465542873148249e-06,0.10388513085344778
139,2.0,0.0,1.0,1.0211165452565583,4.538324401331497e-06,0.12055280767388483
140,2.0,0.0,1.5,1.0202483297678195,1.731584633063044e-06,0.05372414493870214
141,2.0,0.0,2.0,1.019764669395141,-1.1840357566574951e-07,0.041716882767101074
142,2.0,0.0,3.0,1.018721819850306,1.1447981208718146e-06,0.04252063353455575
143,2.0,0.0,5.0,1.016380346270002,-1.2151636909453825e-07,0.12052171919238801
144,2.0,0.5,0.0,1.021804549249822,-1.5021463528958249e-05,1.0
145,2.0,0.5,0.05,0.9951320821752657,-0.13082856259076664,0.9945636246987071
146,2.0,0.5,0.1,0.9964060145848234,-0.13613936709923383,0.9798584077534462
147,2.0,0.5,0.2,3.231079828250002,-0.26322245962553925,0.8735143544280921
148,2.0,0.5,0.3,1083.3603781353358,-0.12460879964319799,0.6447550604694823
149,2.0,0.5,0.5,1058.2259439741931,-0.08554414039080271,0.34499106015638276
150,2.0,0.5,0.7,745.7163237898521,-0.24511044296537388,0.08797247240437285
151,2.0,0.5,1.0,1682.2111514255173,-0.15789646320565187,0.12246206193750558
152,2.0,0.5,1.5,761.6894901589652,-0.025045155314162668,0.12491925024033777
153,2.0,0.5,2.0,1088.6842676400122,0.007085532676421206,0.1453005344566967
154,2.0,0.5,3.0,1188.8548273546567,0.00040157482312390066,0.11995466419500177
155,2.0,0.5,5.0,990.8151798187484,0.0036180468404177143,0.06788980057642255
156,2.0,1.0,0.0,1.0217989922531183,-7.515350563842378e-06,0.9999999999999999
157,2.0,1.0,0.05,0.9874569946650102,-0.29734000306211866,0.9986602662119239
158,2.0,1.0,0.1,0.9872134371247512,-0.11077054432277365,0.9952189392728988
159,2.0,1.0,0.2,0.9763686511214079,-0.2633667959935779,0.9811211566718041
160,2.0,1.0,0.3,0.9688598358255045,-0.04433344232552128,0.948984766448839
161,2.0,1.0,0.5,5193.149353022563,0.00612709460076916,0.6382946646695825
162,2.0,1.0,0.7,8219.185659446719,0.015024132282900005,0.31622665855987
163,2.0,1.0,1.0,2653.4323547836275,-0.4018469248082238,0.15244964400173544
164,2.0,1.0,1.5,7608.867385222784,-0.01691507912144817,0.0982560248234815
165,2.0,1.0,2.0,3377.85754249009,0.01941400486613032,0.08454346538996166
166,2.0,1.0,3.0,1877.8366253134,0.016176567994568715,0.17063350548180453
167,2.0,1.0,5.0,789.528747692975,0.025971764382905424,0.1282676346977459
168,2.0,2.0,0.0,1.0217952441915965,-3.757430889983509e-06,0.9999999999999999
169,2.0,2.0,0.05,0.9730259355858037,-0.6205863036093988,0.9996662369629916
170,2.0,2.0,0.1,0.9742556715352991,-0.2150667975356666,0.9988188319246644
171,2.0,2.0,0.2,0.9715992075900977,-0.04151557272585259,0.995515570174204
172,2.0,2.0,0.3,0.9339346145644574,-0.35411006487446517,0.9895450214839607
173,2.0,2.0,0.5,0.9219988963120155,-0.32366603660252824,0.9581609789222842
174,2.0,2.0,0.7,0.9239189400257596,0.25135037518395054,0.8951625779064958
175,2.0,2.0,1.0,2.746373738809111,-0.00047963549326598064,0.7366764319052929
176,2.0,2.0,1.5,1292.3502055156202,-0.012146352585983738,0.4181562316297195
177,2.0,2.0,2.0,5204.644499495348,-0.042946606662529835,0.35200527867850834
178,2.0,2.0,3.0,3732.9415178384334,-0.023940613939598947,0.07749129388906933
179,2.0,2.0,5.0,757.8907459195062,-0.005598927308688052,0.14819299901356678
